title,ingredients,directions,Search
Polish Stuffed Cabbage,"[""1 solid head cabbage"", ""1 c. rice"", ""1 large chopped onion"", ""1 stick butter"", ""2 1/2 lb. meat loaf mixture"", ""2 eggs"", ""salt and pepper to taste"", ""raisins"", ""2 cans tomato soup""]","[""Core head of cabbage."", ""Set cabbage hole down in large pot with 1 or 2 inches of water and steam."", ""Pull off leaves, one by one (total of about 22 to 26)."", ""Cook rice."", ""Saute chopped onion in butter."", ""Mix meat loaf mixture with the rice and onion mixture with your hands."", ""Add eggs to the mixture and salt and pepper to taste."", ""Take each cabbage leaf and put some meat in the middle. Wrap envelope-style tightly."", ""Put 1 small box of raisins on bottom of pan."", ""Tightly pack 2 rows of cabbage balls in same pot as you boiled cabbage."", ""Sprinkle another few raisins on top."", ""Add tomato soup and 2 cans water."", ""Cover and bring to a boil, then reduce to a simmer for 1 1/2 hours."", ""Serve with mashed potatoes and cucumber salad.""]",cabbage+egg
Stuffed Cabbage,"[""2 lb. 90% lean hamburg"", ""1 c. uncooked rice"", ""2 eggs"", ""1/2 c. tomato juice"", ""1 small onion, chopped"", ""2 stalks chopped celery"", ""salt and pepper to taste"", ""12 big cabbage leaves"", ""1 qt. tomato juice""]","[""Mix first 7 ingredients in a large bowl, using your hands. Divide mixture into 12 even sized balls."", ""Place 1 ball into center of each cabbage leaf."", ""Wrap leaf around mixture."", ""Place each wrapped ball into a crock-pot generously sprayed with Pam."", ""Pour 1 quart tomato juice over cabbage rolls."", ""Cook 2 hours on high, then cook 4 hours on low, then serve.""]",cabbage+egg
Creamy Coleslaw(Better Homes And Gardens)  ,"[""4 c. shredded cabbage"", ""1/2 c. shredded carrots"", ""1/4 c. finely chopped green pepper"", ""2 Tbsp. finely chopped onion"", ""1/2 c. mayonnaise"", ""1 Tbsp. vinegar"", ""2 tsp. sugar"", ""1 tsp. celery seed"", ""1/4 tsp. salt""]","[""In a large bowl, combine cabbage, carrot, green pepper and onion or can use package of slaw mix purchased from store.""]",cabbage+onion
Corned Beef And Cabbage Casserole,"[""1 small cabbage, shredded"", ""1 tsp. dry mustard"", ""1 can corned beef, flaked"", ""1 can cream of celery soup"", ""1 medium chopped onion""]","[""Combine all ingredients and cook uncovered over low heat until cabbage is crisp-tender, about 20 minutes.""]",cabbage+onion
Shrimp Salad,"[""1 head cabbage"", ""1 can tiny shrimp"", ""1 c. mayonnaise"", ""1/3 c. catsup"", ""1 Tbsp. lemon juice"", ""1 Tbsp. prepared horseradish"", ""cherry tomatoes (optional)""]","[""Shred cabbage into bowl."", ""Open shrimp and drain juice.""]",cabbage+shrimp
Chop Suey,"[""2 pieces carrots, sliced"", ""300 gm. celery"", ""1/2 head cabbage"", ""1/2 k. cauliflower"", ""3 Tbsp. soy sauce"", ""1 c. chicken stock"", ""2 Tbsp. cornstarch"", ""1 tsp. ajinomoto"", ""salt and pepper to taste"", ""1 sweet green pepper"", ""3 Tbsp. cooking oil"", ""3 cloves garlic"", ""1 large onion"", ""300 gm. shrimp"", ""1 medium size breast of chicken"", ""1 c. cooked pork"", ""1/2 c. chicken livers"", ""4 pieces Chinese mushroom""]","[""Cut all vegetables into serving pieces, preferably diagonally and in uniform sizes."", ""Cut all meats and shrimp in bite size pieces and set aside."", ""Wash Chinese mushrooms and soak them in 1/2-cup warm water."", ""Saute garlic and onions in hot oil until all are golden brown."", ""Add sliced shrimp, chicken livers, previously cut up and the cooked pork."", ""Season with soy sauce and salt and pepper. Pour in chicken stock."", ""Allow to cook for about 5 minutes."", ""Then add carrots, cauliflower, cabbage and Chinese mushroom with the 1/2 cup water it was soaked in."", ""Allow to cook in an open pan."", ""Add the rest of the vegetables."", ""Cook until vegetables are cooked.""]",cabbage+shrimp
Fried Cabbage,"[""1 head cabbage"", ""1 onion"", ""1 bell pepper"", ""1 ripe tomato"", ""2 Tbsp. sugar"", ""1 tsp. salt"", ""1 tsp. pepper""]","[""Chop or cut up in small pieces; let stand at least 1 hour. Put 3 tablespoons of oil in skillet and heat."", ""Drain vegetables. Put in skillet."", ""Add 1/2 cup water and cook 20 or 30 minutes.""]",cabbage+tomato
Cabbage Soup,"[""1 lb. ground beef"", ""1/4 tsp. garlic powder"", ""2 celery stalks, chopped"", ""1/2 head cabbage, chopped"", ""1 tomato can of water"", ""1/2 tsp. garlic salt"", ""1/4 tsp. pepper"", ""1 can kidney beans (undrained)"", ""1 (28 oz.) can tomatoes, chopped"", ""4 beef bouillon cubes""]","[""Brown beef; drain."", ""Add remaining ingredients."", ""Bring to a boil."", ""Simmer 1 hour."", ""Really delicious and so easy.""]",cabbage+tomato
Chow Chow,"[""2 heads cabbage"", ""6 heads cauliflower"", ""8 peppers (red and green)"", ""35 small green tomatoes"", ""30 onions, cut up or 1 to 2 lb. pickling onions, very small ones"", ""1 stalk celery"", ""1/2 lb. carrots"", ""1 doz. small pickling cukes, peeled"", ""2 handfuls pickling salt (no iodine)"", ""4 c. vinegar (definitely not Heinz, too strong)"", ""3 1/2 c. sugar"", ""1 1/2 tsp. turmeric"", ""1 (12 oz.) French's prepared mustard"", ""2 Tbsp. flour""]","[""Cut up vegetables coarsely and put in large container."", ""Put in pickling salt."", ""Add 2 trays of ice cubes, mix through."", ""Cover with cloth and let stand overnight in a very large canner (15 1/2-quart or larger)."", ""In morning, make syrup of vinegar, sugar, turmeric and mustard."", ""Cook down until mixed throughly."", ""Mix flour in some syrup and then add to the syrup in pot (canner)."", ""Cook until clear by boiling."", ""Turn heat down."", ""Fill a colander with vegetables and then add to syrup."", ""Do this until all vegetables are in canner."", ""Cook until it comes to a boil."", ""Boil slowly for 5 minutes, no longer. Fill clean, sterilized jars and seal."", ""Yields 16 to 20 pints.""]",cauliflower+cabbage
Stir-Fry Vegetables,"[""2 c. chopped cabbage"", ""1 c. chopped carrots"", ""1 c. chopped onions"", ""1/2 c. chopped sweet pepper (maybe 1 hot pepper)"", ""1/2 c. chopped zucchini"", ""1 c. chopped cauliflower"", ""2 Tbsp. vegetable oil""]","[""Heat oil about 1 minute."", ""Add vegetables with wooden spoon. Stir constantly until food is only wilted, but still crunchy."", ""The secret of good stir-fry is not to overcook.""]",cauliflower+cabbage
